Voltage (V)	Current (A)	Resistance (Ohm)	Power (W)	Time(s)
5.013889E-3	2.704224E-10	1.854095E+7	1.355868E-12	0.000000E+0
1.000442E-2	8.900335E-10	1.124050E+7	8.904269E-12	1.055000E-1
2.002407E-2	1.287902E-9	1.554782E+7	2.578904E-11	2.012000E-1
3.000278E-2	2.482016E-9	1.208807E+7	7.446738E-11	2.979000E-1
3.998976E-2	3.511913E-9	1.138689E+7	1.404406E-10	4.024000E-1
5.000603E-2	5.213626E-9	9.591411E+6	2.607127E-10	4.990000E-1
5.998363E-2	7.254835E-9	8.268090E+6	4.351713E-10	5.947000E-1
7.000300E-2	1.021072E-8	6.855834E+6	7.147810E-10	6.983000E-1
7.998603E-2	1.350230E-8	5.923882E+6	1.079995E-9	7.959000E-1
9.000594E-2	1.791894E-8	5.022950E+6	1.612811E-9	8.926000E-1
9.998453E-2	2.257172E-8	4.429637E+6	2.256823E-9	9.961000E-1
1.100019E-1	2.820828E-8	3.899632E+6	3.102964E-9	1.092800E+0
1.199889E-1	3.580123E-8	3.351530E+6	4.295750E-9	1.189500E+0
1.300053E-1	4.494812E-8	2.892341E+6	5.843494E-9	1.293000E+0
1.399907E-1	5.604753E-8	2.497714E+6	7.846133E-9	1.388700E+0
1.500131E-1	6.934479E-8	2.163293E+6	1.040263E-8	1.486300E+0
1.599985E-1	8.624382E-8	1.855188E+6	1.379888E-8	1.589900E+0
1.700158E-1	1.065470E-7	1.595688E+6	1.811467E-8	1.687500E+0
1.800014E-1	1.310433E-7	1.373602E+6	2.358798E-8	1.783200E+0
1.900204E-1	1.609740E-7	1.180442E+6	3.058834E-8	1.887700E+0
2.000013E-1	1.964891E-7	1.017875E+6	3.929808E-8	1.984400E+0
2.100193E-1	2.408274E-7	8.720739E+5	5.057840E-8	2.080100E+0
2.200054E-1	2.942638E-7	7.476468E+5	6.473963E-8	2.184600E+0
2.300230E-1	3.594841E-7	6.398697E+5	8.268961E-8	2.281300E+0
